postcode_sector,Numpeople_2011_Total,Numpeople_2011_Wales,County1,County2,County3,CountyCe1,CountyCe2,CountyCe3
LL44 2,1028,1028,Gwynedd,,,Gwynedd,,
LL45 2,708,708,Gwynedd,,,Gwynedd,,
LL46 2,1856,1856,Gwynedd,,,Gwynedd,,
LL47 6,537,537,Gwynedd,,,Gwynedd,,
LL48 6,2603,2603,Gwynedd,,,Gwynedd,,
LL49 0,,,Gwynedd,,,Gwynedd,,
LL49 9,4502,4502,Gwynedd,,,Gwynedd,,
LL51 9,888,888,Gwynedd,,,Gwynedd,,
LL52 0,2770,2770,Gwynedd,,,Gwynedd,,
LL53 5,4554,4554,Gwynedd,,,Gwynedd,,
LL53 6,5634,5631,Gwynedd,,,Gwynedd,,
LL53 7,3384,3383,Gwynedd,,,Gwynedd,,
LL53 8,3570,3570,Gwynedd,,,Gwynedd,,
LL53 9,,,Gwynedd,,,Gwynedd,,
LL54 5,3088,3088,Gwynedd,,,Gwynedd,,
LL54 6,4238,4236,Gwynedd,,,Gwynedd,,
LL54 7,4054,4051,Gwynedd,,,Gwynedd,,
LL55 1,5327,5327,Gwynedd,,,Gwynedd,,
LL55 2,6663,6663,Gwynedd,,,Gwynedd,,
LL55 3,3099,3099,Gwynedd,,,Gwynedd,,
LL55 4,6355,6355,Gwynedd,,,Gwynedd,,
LL55 9,,,Gwynedd,,,Gwynedd,,
LL56 4,2299,2299,Gwynedd,,,Gwynedd,,
LL57 1,6022,6022,Gwynedd,,,Gwynedd,,
LL57 2,10018,10017,Gwynedd,,,Gwynedd,,
LL57 3,5617,5613,Gwynedd,,,Gwynedd,,
LL57 4,5931,5927,Gwynedd,,,Gwynedd,,
LL57 9,,,Gwynedd,,,Gwynedd,,
LL58 8,3883,3883,Isle of Anglesey,,,Gwynedd,,
LL59 5,5611,5611,Isle of Anglesey,Gwynedd,,Gwynedd,,
LL60 6,2817,2817,Isle of Anglesey,,,Gwynedd,,
LL61 5,3014,3014,Isle of Anglesey,,,Gwynedd,,
